Open time,Open,Close,High,Low,Volume,Amount
43094,12401000003,12401000003,12401000003,12401000003,1,12401000003
43094,12401000003,12401000003,12401000003,12401000003,46903983,581656293324
43094,13787999998,13787999998,13787999998,13787999998,812991,112095199064
43094,13787998894,13787998894,13787998894,13787998894,2448958,33766230195
43094,125000,125000,125000,125000,15,1875
43094,130000,130000,130000,130000,65,845
43094,130000,130000,130000,130000,76923,999999
43094,130000,130000,130000,130000,110173,1432249
43094,130000,130000,130000,130000,3338697,43403061
43094,13787998899,13787998899,13787998899,13787998899,179537,24754559583
43094,137000,137000,137000,137000,41203169,5644834153
43094,136750,136750,136750,136750,177008,24205844
43094,12000000085,12000000085,12000000085,12000000085,2014639,24175668171
43094,12001000003,12001000003,12001000003,12001000003,22877,274546877
43094,123000,123000,123000,123000,1,1230
43094,12010000006,12010000006,12010000006,12010000006,10217813,122715934191
43094,12010000006,12010000006,12010000006,12010000006,283927,3409963272
43094,134860,134860,134860,134860,6145555,8287895473
43094,134860,134860,134860,134860,747,10074042
43094,13483000009,13483000009,13483000009,13483000009,10183528,137304508116
43094,13482000005,13482000005,13482000005,13482000005,1473385,198641765773
43094,13200000001,13200000001,13200000001,13200000001,288,38016000003
43094,13200000001,13200000001,13200000001,13200000001,2348037,30994088402
43094,13200000004,137000,137000,13200000004,3658433,497257156032
43094,137000,137880,137880,137000,40075265,550905882924
43094,137880,137880,137880,137880,32926546,453991216248
43094,137880,137880,137880,137880,27357577,377206271676
43094,137880,137880,137880,137880,21453588,295802071344
43094,137880,137880,137880,137880,12171013,167813927244
43094,137880,137880,137880,137880,15940399,219786221412
43094,137880,137880,137880,137880,3330203,45916838964
43094,146880,146880,146880,146880,173128,2542904064
43094,145000,145010,145010,145000,37824977,548468688557
43094,13000000001,13000000001,130010,13000000001,51306,667022388
43094,13999999999,140000,140000,13999999999,1597397,22363557999
43094,1449899999,1449899999,1449899999,1449899999,1103528,16000052461
43094,13166992387,140000,140000,13166992387,1567169,2067636358
43094,13166992387,13166992387,13166992387,13166992387,6079,8004214672
43094,13166992387,13166992387,13166992387,13166992387,26657,350992516
43094,13166992387,13166992387,13166992387,13166992387,18465,243128514
43094,13166992387,13166992387,13166992387,13166992387,11645814,153340344278
43094,13166992387,13166992387,13166992387,13166992387,4324019,56934325255
43094,13166992387,13166992387,13166992387,13166992387,60167,792218431
43094,13900000001,139000,13900000001,139000,576,80064000003
43094,139000,13900000001,13900000001,139000,22054579,30655864811
43094,13900000002,139000,13900000002,139000,3327001,46245313905
43094,13166992388,13166992388,13166992388,13166992388,36306,478040826
43094,13250000003,13250000003,13250000003,13250000003,3590359,47572256761
43094,13251000007,134190,134190,13251000007,1,13302042101
43094,13251000007,13251000007,13251000007,13251000007,1,13251000007
43094,13251000007,13251000007,13251000007,13251000007,77185,10227784355
43094,13251000008,13251000008,13251000008,13251000008,232168,30764581698
43094,13251000008,13251000008,13251000008,13251000008,1,13251000008
43094,13251000008,13251000008,13251000008,13251000008,515983,6837290737
43094,13251000008,13251000008,13251000008,13251000008,24850337,329291815787
43094,13250000001,13250000001,13250000001,13250000001,1315592,17431594001
43094,13250000001,13250000001,13250000001,13250000001,16519,21887675
43094,13250000001,13250000001,13250000001,13250000001,1102969,1461433925
43094,13250000001,13250000001,13250000001,13250000001,169942,22517315
43094,13260000005,13260000005,13260000005,13260000005,201002,2665286521
43094,13260000005,13260000005,13260000005,13260000005,1182029,15673704546
43094,144980,144980,144980,144980,2237063,32432939374
43094,13260000005,13260000005,13260000005,13260000005,38366,50873316
43094,13260000005,13260000005,13260000005,13260000005,5,6630000002
43094,13260000005,13260000005,13260000005,13260000005,282,3739320001
43094,13260000005,13260000005,13260000005,13260000005,140826,186735276
43094,13260000005,13260000005,13260000005,13260000005,268246,3556941961
43094,13260000005,13260000005,13260000005,13260000005,512487,6795577623
43094,13260000007,13260000007,13260000007,13260000007,1,13260000007
43094,13260000007,13260000007,13260000007,13260000007,1,13260000007
43094,13260000007,13260000007,13260000007,13260000007,52005,68958630034
43094,13260000007,13260000007,13260000007,13260000007,7699,10208874005
43094,144835,144835,144835,144835,3270677,47370850329
43094,13260415554,13260415554,13260415554,13260415554,1178382,15625835001
43094,13260415554,13260415554,13260415554,13260415554,30772,40804950744
43094,13260415554,13260415554,13260415554,13260415554,34583,45858495111
43094,14483499999,146880,146880,14483499999,6,8806373698
43094,13260000006,13260000006,13260000006,13260000006,77077,102204102
43094,13260000006,13260000006,13260000006,13260000006,264125,3502297502
43094,13500000001,13500000001,13500000001,13500000001,597842,8070867001
43094,13500000001,13500000001,13500000001,13500000001,2289184,30903984002
43094,13500000001,13500000001,13500000001,13500000001,1017612,13737762001
43094,13500000001,13500000002,13500000002,13500000001,1243494,16787169002
43094,13500000002,13500000003,13500000003,13500000002,1094025,14769337503
43094,13500000001,13500000001,13500000001,13500000001,261804,3534354
43094,13500000001,13500000001,13500000001,13500000001,1,13500000001
43094,13500000001,13500000002,13500000002,13500000001,23440272,316443672024
43094,13260000001,13260000001,13260000001,13260000001,1537175,20382940502
43094,14687999999,14687999999,14687999999,14687999999,45893,674076384
43094,14687999999,14687999999,14687999999,14687999999,34442,505884096
43094,14687999998,14687999998,14687999998,14687999998,330959,4861125791
43094,14687999998,14687999998,14687999998,14687999998,105538,15501421438
43094,14514999999,146580,146580,14514999999,2180773,31725150397
43094,13260000003,13260000003,13260000003,13260000003,4349363,57672553393
43094,13260000003,13260000003,13260000003,13260000003,144978,192240828
43094,133000,133000,133000,133000,2451346,326029018
43094,134000,134000,134000,134000,585651,78477234
43094,1389999999,1389999999,1389999999,1389999999,556927,7741285294
43095,13350000003,133550,133550,13350000003,1658144,22138722404
43095,13350000003,13350000003,13350000003,13350000003,626219,8360023652
